,mid,gid
0,79,12
1,82,12
2,87,12
3,146,12
4,285,12
5,604,12
6,605,12
7,672,12
8,673,12
9,674,12
10,675,12
11,767,12
12,944,12
13,1273,12
14,1499,12
15,1729,12
16,1735,12
17,1996,12
18,2137,12
19,2270,12
20,6038,12
21,6972,12
22,8341,12
23,8584,12
24,8697,12
25,9053,12
26,9404,12
27,9449,12
28,9471,12
29,9502,12
30,9550,12
31,10109,12
32,10204,12
33,10257,12
34,10674,12
35,10951,12
36,10974,12
37,10975,12
38,11198,12
39,11653,12
40,11841,12
41,12289,12
42,12444,12
43,12445,12
44,13345,12
45,13836,12
46,14164,12
47,14172,12
48,14539,12
49,14797,12
50,17108,12
51,17653,12
52,17811,12
53,18670,12
54,18817,12
55,18855,12
56,18860,12
57,20002,12
58,21621,12
59,24444,12
60,24546,12
61,24993,12
62,25539,12
63,26259,12
64,27578,12
65,29584,12
66,31680,12
67,32388,12
68,32629,12
69,32654,12
70,32909,12
71,35117,12
72,35138,12
73,36669,12
74,37702,12
75,37848,12
76,37868,12
77,38425,12
78,38575,12
79,38955,12
80,39245,12
81,39390,12
82,39751,12
83,39854,12
84,39901,12
85,40166,12
86,40388,12
87,40435,12
88,41380,12
89,41392,12
90,44154,12
91,44554,12
92,45408,12
93,45425,12
94,45491,12
95,45736,12
96,45871,12
97,46528,12
98,47971,12
99,48492,12
100,48791,12
101,49516,12
102,49906,12
103,49967,12
104,50936,12
105,54848,12
106,55750,12
107,56277,12
108,56671,12
109,57624,12
110,58371,12
111,63416,12
112,64307,12
113,64365,12
114,64891,12
115,65000,12
116,65091,12
117,66752,12
118,66758,12
119,66975,12
120,67337,12
121,68721,12
122,69155,12
123,69464,12
124,69521,12
125,69865,12
126,70697,12
127,71987,12
128,73748,12
129,74887,12
130,75519,12
131,75520,12
132,75699,12
133,75845,12
134,76163,12
135,76293,12
136,76294,12
137,76349,12
138,77132,12
139,80474,12
140,80779,12
141,81870,12
142,82061,12
143,83876,12
144,85259,12
145,90022,12
146,90565,12
147,92360,12
148,93569,12
149,96466,12
150,98420,12
151,98567,12
152,99576,12
153,100943,12
154,101189,12
155,104313,12
156,105001,12
157,106651,12
158,106672,12
159,106718,12
160,106778,12
161,107891,12
162,107899,12
163,107900,12
164,107910,12
165,108962,12
166,112700,12
167,115651,12
168,115652,12
169,119892,12
170,122765,12
171,125756,12
172,128393,12
173,135549,12
174,138103,12
175,138567,12
176,138845,12
177,140300,12
178,142300,12
179,145068,12
180,147413,12
181,149085,12
182,149961,12
183,159597,12
184,161351,12
185,164086,12
186,164439,12
187,167449,12
188,167622,12
189,170657,12
190,170805,12
191,172239,12
192,172607,12
193,172745,12
194,172786,12
195,172972,12
196,173018,12
197,173124,12
198,173776,12
199,175821,12
200,181009,12
201,186881,12
202,187364,12
203,187422,12
204,187464,12
205,187727,12
206,187996,12
207,191531,12
208,191563,12
209,192871,12
210,194429,12
211,196385,12
212,197055,12
213,198157,12
214,198309,12
215,198945,12
216,199635,12
217,199638,12
218,199792,12
219,199796,12
220,203509,12
221,206446,12
222,206453,12
223,206697,12
224,217923,12
225,218801,12
226,220587,12
227,230944,12
228,232569,12
229,233361,12
230,241957,12
231,254124,12
232,255599,12
233,263341,12
234,271614,12
235,271617,12
236,283910,12
237,284113,12
238,286217,12
239,293252,12
240,294992,12
241,299824,12
242,300168,12
243,303536,12
244,311324,12
245,312408,12
246,330459,12
247,335777,12
248,336269,12
249,337422,12
250,338388,12
251,345725,12
252,360186,12
253,360297,12
254,361485,12
255,363209,12
256,368195,12
257,372836,12
258,373200,12
259,373571,12
260,381902,12
261,383785,12
262,389201,12
263,391523,12
264,398792,12
