,pid,mid
0,163441,13
1,240171,24
2,1336,79
3,1337,79
4,1338,79
5,1339,79
6,1340,79
7,1341,79
8,643,82
9,695,87
10,1339,146
11,1619,146
12,1624,146
13,1619,285
14,240171,393
15,52908,604
16,52908,605
17,20999,672
18,20999,673
19,20999,674
20,20999,675
21,20640,746
22,69033,746
23,20999,767
24,1337,843
25,1338,843
26,12466,843
27,1002925,843
28,1148003,843
29,643,844
30,1337,844
31,1338,844
32,1339,844
33,12672,844
34,1336,944
35,612216,944
36,643,1248
37,1339,1273
38,1339,1436
39,120725,1436
40,1619,1439
41,10885,1439
42,643,1494
43,1619,1494
44,20654,1494
45,69033,1499
46,1336,1729
47,18897,1729
48,52908,1729
49,1336,1735
50,66717,1735
51,643,1904
52,1339,1904
53,10885,1904
54,20999,1934
55,20519,1996
56,20652,2008
57,20654,2008
58,20655,2008
59,1336,2085
60,18897,2109
61,70690,2109
62,83689,2109
63,20654,2111
64,109809,2111
65,12466,2137
66,21908,2137
67,21910,2137
68,21911,2137
69,21914,2137
70,66717,2137
71,83631,2137
72,83689,2137
73,92833,2137
74,111298,2137
75,120725,2137
76,1336,2140
77,20999,2270
78,23838,2314
79,25246,2463
80,25249,2463
81,25251,2463
82,26726,2644
83,26728,2644
84,26739,2644
85,26744,2644
86,26760,2644
87,240177,2644
88,1201406,2644
89,26724,2645
90,26726,2645
91,26728,2645
92,26739,2645
93,26760,2645
94,239010,2645
95,240177,2645
96,26726,2646
97,26728,2646
98,26739,2646
99,116906,2646
100,119450,2646
101,238973,2646
102,695,2647
103,26726,2647
104,26728,2647
105,26739,2647
106,67046,2647
107,1201400,2647
108,12466,2648
109,26726,2648
110,26728,2648
111,26778,2648
112,26784,2648
113,26785,2648
114,26786,2648
115,69637,2648
116,126852,2648
117,579216,2648
118,1201408,2648
119,21911,4108
120,1337,4588
121,1065282,4961
122,18897,5174
123,1339,5175
124,10885,5175
125,18897,5175
126,1341,6038
127,18897,6038
128,57609,6972
129,20519,7346
130,25251,7346
131,52575,7346
132,1147123,7346
133,1336,7549
134,52908,7549
135,54615,8341
136,55674,8393
137,20999,8435
138,18897,8584
139,120725,8584
140,18897,8697
141,70690,8697
142,20519,8943
143,25251,8943
144,111298,8943
145,227782,8943
146,1337,9048
147,25245,9048
148,26785,9048
149,56804,9048
150,65974,9048
151,68557,9048
152,1135394,9048
153,25245,9050
154,25249,9050
155,56804,9050
156,56816,9050
157,65974,9050
158,68557,9050
159,69637,9050
160,134704,9050
161,229302,9050
162,52908,9053
163,1338,9056
164,18897,9056
165,44922,9056
166,56830,9056
167,96546,9056
168,118745,9056
169,119454,9056
170,1254216,9056
171,1277930,9056
172,56861,9060
173,18897,9404
174,44922,9404
175,70690,9404
176,120419,9404
177,20999,9449
178,1619,9455
179,1336,9460
180,57831,9460
181,66717,9460
182,130561,9460
183,226620,9460
184,551869,9460
185,1619923,9460
186,695,9461
187,18897,9461
188,57609,9461
189,62410,9461
190,119454,9461
191,1173757,9461
192,25251,9470
193,57607,9470
194,57609,9470
195,65975,9470
196,78878,9470
197,83635,9470
198,118745,9470
199,119426,9470
200,545277,9470
201,576408,9470
202,1136808,9470
203,1173200,9470
204,1173216,9470
205,1173223,9470
206,1173224,9470
207,1287732,9470
208,1676386,9470
209,65975,9471
210,18897,9502
211,1339,9550
212,25246,9550
213,20519,9581
214,25246,9581
215,25251,9581
216,52575,9581
217,70591,9594
218,12470,9696
219,1336,10027
220,20999,10034
221,18897,10044
222,26724,10044
223,57609,10044
224,62410,10044
225,62417,10044
226,62419,10044
227,62420,10044
228,62423,10044
229,62424,10044
230,1265950,10044
231,20652,10109
232,63584,10109
233,18897,10204
234,57831,10204
235,62410,10204
236,64662,10222
237,1341,10257
238,18897,10257
239,56861,10257
240,1337,10265
241,21911,10265
242,64496,10265
243,1336,10275
244,18897,10348
245,35452,10348
246,64895,10348
247,70690,10348
248,96546,10348
249,110847,10348
250,119454,10348
251,148884,10348
252,643,10387
253,20640,10387
254,643,10404
255,1336,10431
256,26739,10451
257,65353,10451
258,18897,10610
259,54615,10610
260,56804,10610
261,66122,10610
262,66717,10610
263,1336,10616
264,20519,10616
265,26724,10616
266,65938,10616
267,65944,10616
268,1336,10617
269,25245,10617
270,65974,10617
271,65975,10617
272,65976,10617
273,65987,10617
274,134704,10617
275,239091,10617
276,588144,10617
277,1338555,10617
278,1336,10618
279,1341,10618
280,18897,10618
281,65986,10618
282,65987,10618
283,65990,10618
284,65992,10618
285,239091,10618
286,1134729,10618
287,1336,10619
288,65974,10619
289,65987,10619
290,65992,10619
291,1336,10620
292,62417,10620
293,65987,10620
294,1357125,10620
295,18897,10622
296,62410,10622
297,931174,10622
298,1336,10623
299,18897,10674
300,78879,10674
301,1341,10703
302,26775,10703
303,66761,10703
304,73774,10703
305,1338,10753
306,18897,10753
307,44922,10753
308,96546,10753
309,110844,10753
310,119454,10753
311,134704,10753
312,955784,10753
313,18897,10771
314,1337,10775
315,25246,10775
316,26724,10775
317,66717,10775
318,86318,10775
319,1000109,10775
320,1336,10796
321,1619,10835
322,10885,10835
323,26784,10835
324,62412,10835
325,67046,10835
326,119447,10835
327,553881,10835
328,556938,10835
329,571521,10835
330,1135394,10835
331,1356792,10835
332,1336,10852
333,52908,10852
334,62410,10852
335,62417,10852
336,63584,10852
337,67221,10852
338,67222,10852
339,67224,10852
340,227782,10852
341,1136808,10852
342,1417207,10852
343,1624,10855
344,64662,10855
345,1337,10951
346,18897,10951
347,21911,10951
348,57607,10951
349,64496,10951
350,70690,10951
351,88495,10951
352,103598,10951
353,105421,10951
354,120419,10951
355,134686,10951
356,931174,10951
357,974461,10951
358,987139,10951
359,1123830,10951
360,1639507,10951
361,18897,10974
362,65987,10974
363,67689,10974
364,18897,10975
365,70690,10975
366,119454,10975
367,227778,10975
368,56861,10995
369,643,10997
370,69637,10997
371,76913,10997
372,116052,11018
373,1337,11104
374,56830,11104
375,1591060,11104
376,1338,11134
377,10885,11134
378,18897,11134
379,44922,11134
380,57609,11134
381,70591,11134
382,70673,11134
383,119454,11134
384,1069676,11134
385,1346930,11134
386,1336,11143
387,65974,11143
388,65975,11143
389,579216,11143
390,18897,11198
391,66761,11198
392,67222,11198
393,68557,11198
394,68561,11198
395,68562,11198
396,68563,11198
397,70690,11198
398,1183229,11198
399,1346930,11198
400,18897,11205
401,62410,11205
402,62417,11205
403,62419,11205
404,116906,11205
405,134704,11205
406,56816,11220
407,57831,11220
408,66761,11220
409,999460,11220
410,18897,11230
411,18899,11230
412,65976,11230
413,990778,11230
414,18897,11286
415,105940,11286
416,69033,11332
417,1619,11471
418,10885,11471
419,11401,11471
420,25249,11471
421,26760,11471
422,57607,11471
423,69636,11471
424,69637,11471
425,69638,11471
426,119447,11471
427,121394,11471
428,124002,11471
429,1138763,11471
430,1193722,11471
431,1277930,11471
432,1357048,11471
433,71051,11492
434,18897,11537
435,118745,11537
436,1173757,11537
437,21911,11553
438,21911,11554
439,18897,11563
440,118745,11563
441,121394,11563
442,240169,11563
443,1109778,11563
444,18897,11636
445,70690,11636
446,116906,11636
447,120725,11636
448,12466,11647
449,12672,11647
450,26724,11647
451,63584,11647
452,66717,11647
453,70703,11647
454,96862,11647
455,130561,11647
456,1000109,11647
457,1002925,11647
458,18897,11653
459,56861,11653
460,70690,11653
461,120725,11653
462,131728,11653
463,695,11690
464,70591,11690
465,1619,11702
466,10885,11702
467,18897,11713
468,121394,11713
469,1173757,11713
470,20652,11770
471,25246,11770
472,57607,11770
473,57831,11770
474,70437,11770
475,77304,11770
476,237235,11770
