DRAW,LOST,WIN,conpetition,fid,gname,gscore,gstanding,handline,hname,hscore,hstanding,stime,team_a_since_Statistics,team_a_since_all_score,team_a_since_guest_score,team_a_since_host_score,team_b_since_Statistics,team_b_since_all_score,team_b_since_guest_score,team_b_since_host_score,water1,water_2,winner
3.4,1.6,5.3,EC,88724,阿森纳,1.0,2,受半球/一球,伯明翰,2.0,13,2005-05-14 22:00,"['37', '10', '12', '15', '38', '45', '-7', '13', '28%']",28%,16%,39%,"['37', '25', '8', '4', '86', '34', '52', '2', '68%']",68%,67%,69%,0.9,0.95,伯明翰
3.2,3.0,2.15,EC,88725,埃弗顿,2.0,4,平手/半球,博尔顿,3.0,6,2005-05-14 22:00,"['37', '15', '10', '12', '46', '42', '4', '6', '41%']",41%,37%,45%,"['37', '18', '7', '12', '43', '43', '0', '4', '49%']",49%,34%,64%,0.95,0.9,博尔顿
3.5,2.05,2.95,EC,88726,水晶宫,2.0,19,半球,查尔顿,2.0,11,2005-05-14 22:00,"['37', '12', '9', '16', '40', '56', '-16', '11', '33%']",33%,22%,45%,"['37', '7', '11', '19', '39', '60', '-21', '19', '19%']",19%,6%,32%,0.95,0.9,平
3.2,2.0,3.35,EC,88727,诺维奇,0.0,17,受平手/半球,富勒姆,6.0,15,2005-05-14 22:00,"['37', '11', '8', '18', '46', '60', '-14', '15', '30%']",30%,22%,39%,"['37', '7', '12', '18', '42', '71', '-29', '17', '19%']",19%,0%,37%,1.05,0.8,富勒姆
3.5,4.6,1.65,EC,88728,阿斯顿维拉,1.0,10,半球/一球,利物浦,2.0,5,2005-05-14 22:00,"['37', '16', '7', '14', '50', '40', '10', '5', '44%']",44%,27%,62%,"['37', '12', '11', '14', '44', '50', '-6', '10', '33%']",33%,23%,43%,0.95,0.9,利物浦
3.35,3.0,2.1,EC,88729,米德尔斯堡,1.0,7,平手/半球,曼彻斯特城,1.0,8,2005-05-14 22:00,"['37', '13', '12', '12', '46', '38', '8', '8', '36%']",36%,27%,45%,"['37', '14', '12', '11', '52', '45', '7', '7', '38%']",38%,28%,48%,0.9,0.95,平
3.2,2.0,3.35,EC,88730,切尔西,1.0,1,受半球,纽卡斯尔联,1.0,12,2005-05-14 22:00,"['37', '10', '13', '14', '46', '56', '-10', '12', '28%']",28%,16%,39%,"['37', '29', '7', '1', '71', '14', '57', '1', '79%']",79%,84%,74%,0.75,1.1,平
3.4,2.15,2.85,EC,88731,曼彻斯特联,2.0,3,受平手/半球,南安普敦,1.0,18,2005-05-14 22:00,"['37', '6', '14', '17', '43', '64', '-21', '18', '17%']",17%,6%,28%,"['37', '21', '11', '5', '56', '25', '31', '3', '57%']",57%,50%,64%,0.9,0.95,曼彻斯特联
3.4,5.3,1.6,EC,88732,布莱克本,0.0,14,半球/一球,托特纳姆热刺,0.0,9,2005-05-14 22:00,"['37', '14', '9', '14', '47', '41', '6', '9', '38%']",38%,27%,50%,"['37', '9', '14', '14', '32', '43', '-11', '14', '25%']",25%,23%,27%,0.85,1.0,平
3.4,5.3,1.6,EC,88733,朴茨茅斯,0.0,16,半球/一球,西布罗姆维奇,2.0,20,2005-05-14 22:00,"['37', '5', '16', '16', '34', '61', '-27', '20', '14%']",14%,6%,23%,"['37', '10', '9', '18', '43', '56', '-13', '16', '28%']",28%,12%,43%,0.9,0.95,西布罗姆维奇
