ts_code,trade_date,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,y
801010,20190506,农林牧渔,3446.17,3324.46,3553.36,3364.21,-208.12,-5.83,251935.0,2814423.0,48.91,3.61,0
801020,20190506,采掘,2787.37,2669.82,2790.8,2698.85,-171.23,-5.97,223412.0,1432666.0,13.7,1.21,0
801030,20190506,化工,2685.53,2559.36,2687.45,2581.85,-203.82,-7.32,469011.0,4412583.0,18.44,1.84,0
801040,20190506,钢铁,2447.1,2323.86,2447.1,2355.31,-138.63,-5.56,142708.0,609866.0,7.54,1.03,0
801050,20190506,有色金属,2741.15,2613.66,2758.79,2637.87,-195.66,-6.91,279336.0,2089373.0,31.89,1.9,0
801080,20190506,电子,2556.22,2439.8,2558.51,2447.75,-220.52,-8.26,493774.0,4665648.0,30.26,2.56,0
801110,20190506,家用电器,6727.28,6524.79,6742.69,6534.35,-477.52,-6.81,108391.0,1752555.0,15.26,2.93,0
801120,20190506,食品饮料,13248.86,12750.24,13278.5,12864.12,-876.48,-6.38,134456.0,4101576.0,28.42,5.54,0
801130,20190506,纺织服装,2080.16,1969.8,2080.47,1989.93,-134.88,-6.35,81115.0,555608.0,21.79,1.71,0
801140,20190506,轻工制造,2263.44,2152.78,2263.44,2169.69,-170.21,-7.27,167022.0,1271715.0,20.86,1.73,0
801150,20190506,医药生物,7295.1,7017.2,7309.29,7069.43,-463.18,-6.15,366837.0,5148763.0,33.51,3.21,0
801160,20190506,公用事业,2103.05,2014.33,2103.05,2035.75,-111.13,-5.18,278646.0,1691816.0,20.46,1.52,0
801170,20190506,交通运输,2474.56,2376.47,2474.56,2394.06,-178.55,-6.94,290876.0,1838130.0,18.35,1.47,0
801180,20190506,房地产,4296.4,4102.48,4312.65,4137.68,-299.02,-6.74,301398.0,2325233.0,10.21,1.38,0
801200,20190506,商业贸易,3625.95,3487.7,3644.15,3510.4,-235.24,-6.28,144516.0,1210535.0,16.56,1.51,0
801210,20190506,休闲服务,5691.26,5534.4,5731.12,5589.72,-286.91,-4.88,28770.0,368043.0,30.29,3.27,0
801230,20190506,综合,2072.88,1977.98,2087.65,1990.96,-147.42,-6.89,81890.0,449612.0,24.87,1.55,0
801250,20190506,申万制造,3073.81,2923.82,3073.93,2942.16,-252.85,-7.91,1722320.0,16027537.0,26.12,2.2,0
801260,20190506,申万消费,5657.85,5445.95,5677.49,5487.44,-369.22,-6.3,1283043.0,17223217.0,25.08,3.11,0
801270,20190506,申万投资,2361.47,2254.14,2364.64,2275.69,-165.06,-6.76,1212493.0,9547776.0,14.62,1.64,0
801280,20190506,申万服务,2838.57,2731.92,2849.22,2757.44,-184.61,-6.27,2510199.0,22385475.0,13.0,1.37,0
801300,20190506,申万300指数,2653.93,2563.4,2664.9,2587.69,-167.28,-6.07,1892780.0,26626955.0,13.9,1.74,0
801710,20190506,建筑材料,5275.56,5070.11,5298.74,5124.95,-337.87,-6.18,96151.0,996260.0,11.45,1.77,0
801720,20190506,建筑装饰,2330.89,2209.94,2331.9,2227.33,-170.96,-7.13,260058.0,1697506.0,10.36,1.09,0
801730,20190506,电气设备,4215.08,4007.59,4215.08,4048.17,-312.1,-7.16,302098.0,2241222.0,31.3,1.94,0
801740,20190506,国防军工,1102.63,1040.6,1105.33,1049.08,-84.52,-7.46,98369.0,1115248.0,59.11,2.24,0
801750,20190506,计算机,4142.46,3940.42,4165.17,3950.08,-391.53,-9.02,314279.0,4191369.0,49.77,3.18,0
801760,20190506,传媒,636.21,610.2,638.63,614.5,-48.95,-7.38,295604.0,2458339.0,32.11,2.18,0
